gene	sample_name
ENSG00000009724	42
ENSG00000116649	1100
ENSG00000120942	269
ENSG00000120948	3519
ENSG00000171819	1
ENSG00000171824	944
ENSG00000175262	0
ENSG00000198793	2099
ENSG00000207213	0
ENSG00000207451	0
ENSG00000215785	0
ENSG00000225602	0
ENSG00000226849	2
ENSG00000230337	0
ENSG00000238173	0
ENSG00000238199	2
ENSG00000253086	0
ENSG00000264181	0
ENSG00000271794	0
ENSG00000271895	31
